GEOID,median_rent,median_value,median_income,log_rent,log_value,log_income,mf_share,gentle_density_share,high_density_share,sf_share,renter_share,treated_dupac,minority_share,poverty_rate,bea_monthly_cost
25021404201,1826.0,1421100.0,202857.0,7.509883061154913,14.166941777579952,12.22025657629653,0.10102489019033675,0.0,0.10102489019033675,0.8989751098096632,0.10852713178294573,0,0.03527194399569197,0.033189422558014034,7448.9325
25021404301,3257.0,1156700.0,250001.0,8.088561805276234,13.961081681283494,12.429220196836383,0.003243243243243243,0.003243243243243243,0.0,0.9967567567567568,0.05317324185248713,0,0.024368552116684455,0.03593027392387051,6063.035833333332
25021405100,2783.0,1002500.0,224784.0,7.931284761525891,13.818007438162862,12.322895220091432,0.005607476635514018,0.0,0.005607476635514018,0.994392523364486,0.07841191066997519,0,0.0534491398029063,0.009353599465508603,5254.770833333333
25021413100,1138.0,416900.0,92260.0,7.037027614686276,12.940601663868888,11.432365957111811,0.26,0.08652173913043479,0.17347826086956522,0.74,0.24040307101727448,0,0.11187768040275965,0.0950960283423457,2185.250833333333
25021413200,815.0,376100.0,71250.0,6.703188113240863,12.837610344458428,11.173950098130897,0.451353328456474,0.23006583760058522,0.2212874908558888,0.548646671543526,0.4001463057790783,1,0.10485584218512899,0.18557677134290673,1971.3908333333331
25021413300,1877.0,465700.0,112835.0,7.537430036586509,13.05129692897047,11.63368185360601,0.24460070316423907,0.13058764439979909,0.11401305876443998,0.7553992968357609,0.26015831134564643,0,0.10132423756019261,0.028225806451612902,2441.0441666666666
25021413500,1647.0,423400.0,90455.0,7.4067107301776405,12.956072637682901,11.412607768455361,0.574361820199778,0.32963374028856823,0.24472807991120976,0.42563817980022195,0.5119318181818182,1,0.21434726411029728,0.055039930930282754,2219.3216666666667
25021414300,956.0,492900.0,115500.0,6.862757913051401,13.108061592693469,11.657025808943985,0.26995073891625615,0.12364532019704433,0.14630541871921182,0.7300492610837438,0.21021505376344085,0,0.05075656004596821,0.030262401838728213,2583.6175
25021416300,876.0,623500.0,142731.0,6.775366090936392,13.343104044102228,11.86871701883482,0.35815991237677985,0.1949616648411829,0.16319824753559695,0.635815991237678,0.26738270209157716,1,0.2024425584765059,0.02965128419294216,3268.179166666667
25021416400,2140.0,602700.0,124961.0,7.668561108015897,13.309174839471135,11.735756967602311,0.1669793621013133,0.09662288930581614,0.07035647279549719,0.8330206378986866,0.07390648567119155,0,0.006893073301950235,0.05052382561676242,3159.1525
25021417501,1605.0,447600.0,86071.0,7.380879035564116,13.011655255419907,11.362927816026126,0.3944128787878788,0.25946969696969696,0.13494318181818182,0.6055871212121212,0.38328387734915925,1,0.028354632587859425,0.05770766773162939,2346.1699999999996
25021418002,1599.0,350300.0,81064.0,7.377133712833954,12.766545209185578,11.302994245128154,0.7570518653321201,0.2760084925690021,0.481043372763118,0.2429481346678799,0.6615336266499057,1,0.09085786730525426,0.09494294971122694,1836.1558333333332
25013811200,940.0,170600.0,63029.0,6.84587987526405,12.047076914039716,11.051350216920406,0.28836346777932315,0.2095503013444599,0.07881316643486323,0.6332869726471951,0.30578117534639276,1,0.14021761445288441,0.09276437847866419,894.2283333333334
25001015001,1361.0,305900.0,78232.0,7.215975002651466,12.631013530138995,11.267434049992112,0.07117794486215538,0.015037593984962405,0.056140350877192984,0.9288220551378447,0.1346153846153846,0,0.010696404187528447,0.061300889096864764,1603.4258333333335
25017310300,1172.0,204800.0,45942.0,7.066466970136958,12.22978917214749,10.735135010341178,0.5917085427135679,0.2701005025125628,0.32160804020100503,0.4082914572864322,0.5913832199546485,1,0.3655827430779137,0.3219654113463714,1073.4933333333333
25017310601,870.0,282600.0,62944.0,6.76849321164863,12.551787749232565,11.050000721188786,0.55810546875,0.044921875,0.51318359375,0.44189453125,0.4157135753356539,0,0.20586370839936607,0.06427090532135453,1481.295
25017324102,,491100.0,124742.0,7.853287286963593,13.104403052027337,11.734002883300947,0.09795673076923077,0.010817307692307692,0.08713942307692307,0.8112980769230769,0.17576898932831136,0,0.01611459265890779,0.040179573512906845,2574.1825
25017326101,1318.0,451100.0,134972.0,7.183870715062453,13.019444323396486,11.812822628501268,0.16967060285891858,0.08266003729024239,0.0870105655686762,0.8303293971410814,0.15527156549520768,0,0.006327732926030984,0.04642381163927144,2364.5158333333334
25017326102,966.0,464900.0,117438.0,6.873163834212518,13.049577607678676,11.67366581373058,0.1049082053203447,0.07343574372424129,0.03147246159610341,0.8950917946796553,0.11880789367700363,0,0.026644834772253646,0.04316760940756177,2436.8508333333334
25017335302,1451.0,497500.0,93955.0,7.280008252884188,13.117350835580785,11.450571223223253,0.3601134215500945,0.10113421550094517,0.2589792060491493,0.6398865784499055,0.26679744973025993,0,0.052398381814679255,0.03506068194952803,2607.7291666666665
25017335301,1436.0,422800.0,84863.0,7.269616749608169,12.95465453297822,11.348793470476476,0.5380085653104925,0.41541755888650966,0.12259100642398287,0.4555674518201285,0.4292059966685175,1,0.11012514220705347,0.06469373709566414,2216.1766666666667
25017339802,1726.0,388700.0,90750.0,7.453561871643373,12.870563116840314,11.415863752127096,0.7557726465364121,0.32149200710479575,0.4342806394316163,0.24422735346358793,0.5929038281979458,1,0.1956,0.13144122383252818,2037.4358333333332
25017341101,1692.0,427300.0,89145.0,7.433666540166168,12.965241621632117,11.39801953646887,0.4536376604850214,0.3587731811697575,0.09486447931526391,0.5385164051355207,0.35818601076095313,1,0.22367368701679552,0.07544654758731005,2239.7641666666664
25017339801,2231.0,451600.0,91811.0,7.7102051944325325,13.020552111257643,11.427487395138115,0.8408817635270541,0.20601202404809618,0.6348697394789579,0.1591182364729459,0.6723492723492723,1,0.110832811521603,0.13901064495929868,2367.1366666666668
25017341102,1187.0,392400.0,52850.0,7.079184394609668,12.880037006673344,10.875212991298383,0.7493163172288059,0.1814038286235187,0.5679124886052871,0.23381950774840474,0.6345323741007194,1,0.15244191559981032,0.17539267015706805,2056.83
25017341901,1667.0,345100.0,73516.0,7.418780882750794,12.751589509086095,11.205258348585364,0.5118110236220472,0.2677165354330709,0.2440944881889764,0.4881889763779528,0.42917547568710357,1,0.17363112391930835,0.020172910662824207,1808.8991666666668
25017341902,1725.0,408600.0,72635.0,7.45298232946546,12.92049196136566,11.193202178306985,0.7062400846113167,0.19751454257006876,0.508725542041248,0.281332628239027,0.6582242458736483,1,0.22360453594627325,0.16954750633050755,2141.745
25017342101,1275.0,409100.0,46250.0,7.150701457592526,12.92171490391749,10.741816742940571,0.6730178242163491,0.6023355869698832,0.07068223724646588,0.3269821757836509,0.5777351247600768,1,0.4274126455906822,0.1587063611051617,2144.3658333333333
25017342102,1267.0,350500.0,47026.0,7.144407180321139,12.767115985456782,10.75845591922755,0.6032608695652174,0.3894927536231884,0.213768115942029,0.3967391304347826,0.6125244618395304,1,0.42637477195725826,0.2008916863362182,1837.2041666666667
25017342201,1425.0,319500.0,59250.0,7.261927092702751,12.674512552799726,10.989521058997378,0.7435770750988142,0.6245059288537549,0.1190711462450593,0.2564229249011858,0.6818897637795276,1,0.4135323383084577,0.05432835820895522,1674.7124999999999
25017342202,1358.0,337600.0,64098.0,7.213768308118642,12.72961704170394,11.068168441173942,0.6367292225201072,0.5120643431635389,0.12466487935656836,0.3632707774798928,0.38478104809763103,1,0.40795427482733987,0.09964071856287425,1769.5866666666668
25017350103,1998.0,626900.0,105650.0,7.599901959208498,13.34854231726206,11.567887023044202,0.864897466827503,0.5331724969843185,0.33172496984318456,0.13510253317249699,0.7587878787878788,1,0.12402669632925473,0.02502780867630701,3286.0008333333335
